Artist Name,Popularity,danceability,energy,key,mode,acousticness,instrumentalness,liveness,valence,tempo,Class
Ghali,41,0.825,0.781,9,0,0.0833,3.55E-05,0.26,0.812,100.013,9
Gwar,48,0.657,0.535,1,1,0.000329,0.000492,0.318,0.738,132.257,8
Downset,42,0.58,0.93,1,1,0.0128,,0.102,0.534,97.917,8
Blue Material,37,0.621,0.602,9,0,0.000316,0.853,0.134,0.609,116.011,6
Sempra,19,0.754,0.92,3,0,0.183,0.689,0.187,0.966,147.998,1
Malcolm McLaren,41,0.881,0.636,4,0,0.0257,0.000257,0.207,0.616,108.863,5
Arcade Fire,58,0.282,0.932,9,1,0.12,0.0335,0.0692,0.536,190.08,10
Bad Nerves,32,0.449,0.958,6,0,5.33E-06,0.000116,0.148,0.389,107.458,6
3 Doors Down,37,0.548,0.709,9,0,0.00678,3.82E-06,0.104,0.191,119.998,10
ARXX,33,0.65,0.6,9,0,0.0278,0.00121,0.811,0.795,110.016,10
Crown Lands,39,0.494,0.969,6,1,0.172,0.00158,0.148,0.165,121.214,10
The Undercover Dream Lovers,42,0.761,0.707,5,0,0.68,0.421,0.0969,0.893,113.976,6
A Scent Like Wolves,39,0.553,0.939,3,0,0.000833,0.000181,0.404,0.369,124.984,8
Idan Rafael Haviv,55,0.417,0.355,,1,0.847,4.18E-05,0.113,0.0914,86.078,9
Otis Junior,30,0.824,0.489,9,0,0.302,,0.0887,0.771,86.815,1
Madhav Gopi Nair,17,0.349,0.336,4,1,0.723,0.913,0.154,0.062,112.966,6
The Sequence,24,0.921,0.768,,1,0.507,0.000738,0.053,0.775,103.713,5
Advaita,33,0.601,0.728,4,1,0.378,0.726,0.368,0.862,137.99,0
John Campbell,30,0.353,0.495,8,1,0.000119,0.0119,0.13,0.567,81.018,2
Dan + Shay,79,0.748,0.551,11,1,0.235,,0.119,0.66,103.953,4
Gymshorts,23,0.15,0.843,9,1,0.000127,0.502,0.665,0.729,180.034,1
Liz Phair,47,0.774,0.64,2,1,0.743,0.0316,0.088,0.947,136.226,1
Stephen Taranto,28,0.373,0.964,11,0,0.000152,0.791,0.109,0.207,83.958,8
Deep Purple,43,0.42,0.831,7,1,0.00028,0.0711,0.153,0.752,120.867,10
Loyle Carner,60,0.428,0.98,11,0,0.0734,,0.127,0.423,92.035,5
Nickelback,70,0.616,0.91,,1,0.0459,,0.343,0.693,144.072,10
Post Malone,90,0.797,0.631,3,0,0.0904,3.71E-06,0.0998,0.288,129.915,9
Yehudit Ravitz,20,0.418,0.761,9,1,0.295,1.37E-06,0.36,0.467,152.472,10
Olivia Rodrigo,99,0.563,0.664,9,1,0.335,,0.0849,0.688,166.928,9
Rema,59,0.463,0.847,11,0,0.0307,,0.117,0.625,114.962,9
Charlie Puth,75,0.749,0.535,4,1,0.0131,3.65E-05,0.0982,0.601,123.042,9
Ravid Plotnik,46,0.709,0.337,7,1,0.447,0.000162,0.846,0.387,68,5
Ulver,33,0.283,0.41,4,1,0.00106,0.287,0.109,0.0612,91.127,10
Alien Ant Farm,75,0.653,0.964,9,0,0.00316,0.00512,0.144,0.87,126.928,9
Live,57,0.45,0.914,6,1,0.0106,8.18E-05,0.101,0.336,124.42,10
Something Corporate,51,0.522,0.881,7,1,0.00303,0.000147,0.0939,0.369,130.084,10
Buzzcocks,64,0.266,0.831,4,1,0.000862,,0.0555,0.778,175.514,10
Enamour,32,0.754,0.795,7,0,0.0186,0.906,0.0852,0.21,122.007,9
mehro,52,0.562,0.494,4,0,0.864,0.0259,0.153,0.383,144.104,9
Christian L√∂ffler,55,0.163,0.191,10,1,0.937,0.959,0.0961,0.0335,105.104,1
Mark Ronson,48,0.823,0.66,,1,0.00681,2.70E-05,0.269,0.956,114.489,9
Rosie Flores,38,0.65,0.63,11,0,0.278,8.55E-05,0.119,0.74,107.69,2
Ayron Jones,57,0.475,0.844,1,0,0.00012,0.111,0.221,0.554,156.136,10
Dream Drop,35,0.375,0.927,6,0,0.000111,8.99E-06,0.193,0.414,183.998,8
Langston Hughes,10,0.713,0.146,3,1,0.784,,0.212,0.474,89.267,5
Abby Wolfe,40,0.676,0.537,10,1,0.51,,0.0898,0.388,88.001,9
Eagles,72,0.667,0.755,9,1,0.0966,6.94E-05,0.0523,0.883,109.535,10
Die Apokalyptischen Reiter,34,0.408,0.943,,1,0.0058,0.642,0.343,0.16,98.089,8
Icon of Sin,33,0.494,0.958,4,0,0.0361,0.000226,0.387,0.313,145.055,8
Spirit Adrift,32,0.425,0.925,7,1,2.22E-05,0.0723,0.0973,0.313,118.066,8
Shlomo Artzi,29,0.605,0.772,1,0,0.298,1.96E-05,0.131,0.836,129.99,10
Eric B. & Rakim,48,0.586,0.795,11,1,0.354,,0.187,0.694,94.101,5
"Kayla Nicole, Taylor Girlz",78,0.939,0.682,11,1,0.00152,,0.0552,0.584,130.022,9
The Rapture,52,0.472,0.826,9,0,0.000617,0.000713,0.187,0.132,122.326,10
A Day To Remember,64,0.349,0.981,2,0,2.58E-05,,0.343,0.207,160.042,10
Morgan Evans,58,0.645,0.732,3,1,0.00853,2.62E-05,0.198,0.708,95.02,4
Habalyanim,15,0.522,0.769,10,0,0.104,0.000114,0.0643,0.793,189.803,10
Wilco,39,0.621,0.962,2,1,0.282,0.126,0.132,0.653,143.99,6
DOECHII,71,0.597,0.617,8,0,0.463,,0.66,0.889,97.923,9
Gabi Shoshan,27,0.688,0.544,7,0,0.576,0.000231,0.0894,0.633,135.231,10
Brothers Osborne,61,0.614,0.614,4,0,0.104,3.59E-05,0.104,0.598,146.03,4
Zero 9:36,51,0.613,0.86,4,1,0.0247,,0.438,0.638,93.042,10
Róisín O,47,0.349,0.0929,6,1,0.944,,0.0864,0.293,176.177,0
DIIV,43,0.484,0.754,6,0,0.00011,0.806,0.123,0.399,124.971,10
The Swellers,49,0.359,0.983,2,0,9.09E-05,3.54E-05,0.335,0.486,193.042,10
Stalos & Oren Chen,25,0.681,0.929,8,1,0.214,,0.0375,0.793,109.982,9
Emery,46,0.274,0.915,1,0,0.0139,7.37E-05,0.161,0.419,169.161,10
Lionel Richie,22,0.439,0.682,4,1,0.113,1.10E-05,0.973,0.345,142.113,9
Oren Barzilay,17,0.636,0.616,7,1,0.0521,5.14E-05,0.192,0.48,82.99,10
Foo Fighters,73,0.577,0.604,5,1,0.000218,0.000579,0.477,0.637,167.719,10
Gucci Mane,43,0.811,0.46,2,1,0.0694,,0.13,0.4,141.937,5
"Luiz Bonfá, Panos Megarchiotis",40,0.571,0.158,2,1,0.964,0.919,0.108,0.308,114.315,7
Concha Piquer,35,0.658,0.12,,0,0.983,,0.101,0.278,104.208,9
Supergrass,53,0.282,0.648,9,0,0.012,0.401,0.216,0.117,91.536,1
The New Respects,43,0.516,0.7,2,1,0.0182,,0.689,0.343,147.914,10
Hadag Nahash,27,0.631,0.547,4,0,0.35,2.70E-05,0.113,0.719,164.988,9
Julia Jacklin,48,0.471,0.811,4,1,0.000125,4.08E-05,0.117,0.37,141.967,6
Little G Weevil,37,0.692,0.102,,1,0.818,0.00328,0.337,0.475,114.136,2
Lazy Queen,17,0.415,0.774,1,1,0.00403,,0.205,0.466,87.415,10
No Somos Marineros,33,0.483,0.603,4,1,0.348,0.878,0.0911,0.0907,179.392,10
Ghost Town Blues Band,33,0.799,0.73,,1,0.29,9.74E-05,0.975,0.898,120.336,2
"Keethan, Pavitra Krishnan, Shravan Sridhar",34,0.315,0.565,11,1,0.65,0.671,0.107,0.0617,99.49,0
Amaranthe,60,0.407,0.967,,1,0.000316,0.00142,0.089,0.227,180.027,8
Acollective,37,0.412,0.51,6,0,0.348,0.57,0.0787,0.23,147.904,6
No Memories of Tomorrow,8,0.579,0.304,2,0,0.751,0.0612,0.129,0.479,129.867,0
The All-American Rejects,68,0.553,0.717,7,1,6.48E-05,0.128,0.0385,0.318,127.947,9
Nattali Rize,41,0.845,0.681,6,0,0.265,,0.0519,0.654,86.001,10
Apoorva Krishna,13,0.293,0.877,7,1,0.0849,0.392,0.0787,0.87,171.47,6
Ronnie Robinson Trio,38,0.674,0.335,7,1,0.885,0.914,0.101,0.662,168.741,7
Peled,41,0.706,0.679,7,0,0.543,,0.371,0.5,113.038,5
Tay Money,65,0.908,0.663,1,1,0.0163,,0.287,0.399,119.983,5
Allegaeon,35,0.556,0.969,2,1,0.000119,0.829,0.378,0.325,103.994,8
Quami,17,0.694,0.907,9,1,0.0765,6.20E-05,0.13,0.573,114.98,5
Oasis,56,0.247,0.913,7,1,0.0418,0.00839,0.257,0.34,91.157,6
Ghost Iris,43,0.489,0.994,1,0,2.05E-05,0.00683,0.333,0.218,90.015,8
Slowdive,60,0.276,0.449,4,1,0.00782,0.783,0.108,0.278,101.687,6
Billie Eilish,77,0.849,0.48,9,1,0.612,0.269,0.295,0.677,142.021,9
Garbage,18,0.484,0.956,5,0,2.59E-05,0.705,0.257,0.643,145.004,10
Britney Spears,40,0.59,0.776,6,0,0.00705,1.69E-05,0.414,0.81,159.946,9
Ruff Sqwad,37,0.737,0.649,8,0,0.816,0.147,0.201,0.579,139.961,5
Shlomo Artzi,32,0.543,0.606,6,0,0.312,,0.374,0.833,86.537,10
Manal,34,0.528,0.563,2,1,0.706,0.0155,0.149,0.652,168.403,2
The Black Keys,67,0.365,0.466,2,1,0.161,6.68E-06,0.106,0.487,95.163,10
Noah Cyrus,83,0.708,0.186,9,0,0.868,,0.0779,0.322,72.541,9
Tomberlin,55,0.765,0.563,4,1,0.422,0.122,0.142,0.703,93.073,6
The Yardbirds,46,0.529,0.861,11,1,0.292,0.225,0.314,0.387,96.52,6
Wolfmother,60,0.191,0.948,9,0,2.78E-05,0.0864,0.0945,0.215,150.753,10
Led Zeppelin,56,0.339,0.34,11,1,0.657,0.459,0.375,0.117,142.362,10
Hollow Front,48,0.534,0.979,9,0,0.00292,,0.256,0.236,119.993,10
San Holo,,0.416,0.623,5,1,0.121,0.00225,0.27,0.194,130.175,6
The Beatles,72,0.49,0.715,7,1,0.386,,0.311,0.866,130.726,10
Beloved,30,0.361,0.954,2,1,2.00E-05,0.223,0.309,0.176,172.944,10
The Cult,69,0.55,0.765,7,1,4.76E-06,0.873,0.132,0.419,139.46,10
Carach Angren,39,0.57,0.916,8,1,0.00439,0.138,0.135,0.359,100.041,8
Damien,49,0.375,0.0412,,1,0.995,0.96,0.107,0.127,100.74,5
Fleshkiller,20,0.45,0.977,1,1,4.26E-06,0.532,0.414,0.256,130.009,8
Robert Counts,52,0.533,0.589,,1,0.0405,,0.111,0.351,140.049,10
Edgar Winter's White Trash,16,0.695,0.864,9,1,0.0935,,0.222,0.962,129.613,2
Drake,87,0.781,0.594,,0,0.0136,,0.162,0.0628,129.895,5
Julia Kent,31,0.479,0.325,4,0,0.161,0.752,0.104,0.222,132.046,1
Michael Chapman,33,0.551,0.58,,1,0.493,0.0559,0.213,0.473,63.321,2
Arthur "Big Boy" Crudup,30,0.621,0.118,2,1,0.993,0.000878,0.12,0.474,93.082,2
Big Brother & The Holding Company,69,0.443,0.727,4,1,0.263,0.000141,0.169,0.566,160.82,10
Timothy Kay Band,51,0.445,0.159,,1,0.924,0.865,0.113,0.155,68.868,7
Cody Johnson,54,0.546,0.351,11,1,0.701,3.14E-06,0.0997,0.283,105.79,1
Britney Spears,,0.753,0.591,9,0,0.0741,1.87E-05,0.108,0.563,101.941,9
The Weeknd,93,0.68,0.826,,1,0.0212,1.24E-05,0.543,0.644,118.051,9
SOJA,35,0.812,0.645,,1,0.499,,0.0793,0.724,139.974,10
Best Friends Club,20,0.814,0.569,9,0,0.554,0.821,0.132,0.514,120.005,9
Van Halen,69,0.552,0.947,2,1,0.000652,0.00025,0.0637,0.465,127.631,10
Johnny Adams,12,0.916,0.537,9,0,0.241,0.000685,0.0549,0.908,106.951,2
Olivia Lunny,56,0.643,0.648,8,1,0.0139,,0.162,0.552,139.997,9
Rand Aldo,42,0.211,0.109,,1,0.882,0.937,0.0965,0.144,106.225,7
Merle Haggard,35,0.659,0.281,7,1,0.189,,0.112,0.518,108.287,4
"Blxst, Tyga, Ty Dolla $ign",82,0.571,0.767,2,1,0.336,,0.0809,0.605,93.421,9
MOSSS,54,0.761,0.6,7,1,0.269,0.864,0.108,0.557,96.015,6
The Sounds,47,0.475,0.807,3,0,0.0136,6.74E-05,0.109,0.731,145.179,10
The Lumineers,75,0.682,0.471,,1,0.765,,0.0908,0.421,79.907,9
Charlotte Day Wilson,63,0.683,0.486,4,0,0.822,0.0227,0.276,0.279,126.985,6
Lower Than Atlantis,45,0.561,0.823,2,1,0.0029,0.00017,0.492,0.525,93.504,1
Jeris Johnson,54,0.625,0.778,1,1,0.00921,,0.103,0.961,160.039,1
Andi,65,0.522,0.531,10,0,0.093,,0.43,0.149,94.225,9
Elton John,80,0.601,0.532,10,1,0.432,6.25E-06,0.0925,0.341,136.571,10
The Ben Webster Quintet,40,0.529,0.0582,8,1,0.883,0.125,0.116,0.357,93.486,7
The Allergies,30,0.731,0.647,5,0,0.00487,,0.34,0.879,108.017,2
Kings of Leon,58,0.293,0.778,,1,0.0147,0.227,0.102,0.24,147.882,10
Shubha Mudgal,1,0.276,0.659,6,0,0.00219,4.40E-05,0.146,0.309,81.611,0
Galleons,42,0.471,0.925,7,1,0.000254,2.65E-05,0.356,0.0768,100.012,8
Zara Larsson,34,0.619,0.631,11,1,0.131,1.18E-06,0.246,0.772,106.309,9
A. K. Paul,38,0.806,0.197,,1,0.252,2.35E-06,0.0835,0.337,124.005,6
